_r,id,RAJ2000,DEJ2000,release,brickid,objid,type,pstar,gmmcomp,zphot,e_zphot,fclean,fqual
0.007646,8000331904000286,24.166244020429,0.131666927479,8000,331904,286,EXP,0.001,E5,0.927,0.145,1,1
0.007093,8000331904000287,24.166620174909,0.132559829432,8000,331904,287,REX,0.016,R5,0.731,0.245,1,1
0.007617,8000331904000288,24.167048150469,0.132223547764,8000,331904,288,PSF,0.045,P5,0.873,0.548,1,0
6.36E-4,8000331904000293,24.163136096735,0.138352249618,8000,331904,293,COMP,0.002,C9,0.34,0.035,1,1
0.003375,8000331904000295,24.163933063149,0.135277161775,8000,331904,295,REX,0.767,R4,0.267,0.075,1,1
0.004037,8000331904000296,24.165929711763,0.136203698776,8000,331904,296,EXP,0.389,E6,0.897,0.111,1,1
0.002707,8000331904000300,24.159930149644,0.137482899332,8000,331904,300,EXP,0.002,E5,0.905,0.197,1,1
0.002361,8000331904000301,24.161611178871,0.136146294515,8000,331904,301,REX,0.009,R5,1.02,0.537,0,0
0.003328,8000331904000302,24.165760119137,0.139002589543,8000,331904,302,EXP,0.045,E1,0.586,0.148,0,0
0.004347,8000331904000303,24.162691709784,0.142676171055,8000,331904,303,EXP,0.04,E1,0.54,0.176,0,0
0.006118,8000331904000304,24.162217947423,0.132222163792,8000,331904,304,PSF,0.001,P7,0.975,0.348,1,1
0.004706,8000331904000305,24.167175981334,0.137800804762,8000,331904,305,PSF,0.004,P6,1.155,0.136,0,0
0.006041,8000331904000307,24.164074260978,0.132501144465,8000,331904,307,PSF,0.002,P6,0.749,0.125,0,0
0.002025,8000331904000308,24.160978268042,0.136997931191,8000,331904,308,PSF,0.065,P0,0.615,0.63,0,0
0.004599,8000331904000309,24.164352137847,0.134123828924,8000,331904,309,PSF,0.0,P7,2.452,0.648,0,0
0.006762,8000331904000310,24.163557246606,0.131654535307,8000,331904,310,PSF,0.01,P7,2.07,0.555,0,0
0.007923,8000331904000366,24.169445894338,0.134521110101,8000,331904,366,PSF,0.002,P7,1.641,0.512,1,1
0.006419,8000331904000389,24.158332509023,0.133451080185,8000,331904,389,REX,0.004,R6,0.936,0.155,1,1
0.00424,8000331904000405,24.160327095545,0.134692647166,8000,331904,405,REX,0.011,R9,0.293,0.177,1,1
0.006089,8000331904000427,24.157188616374,0.135356667907,8000,331904,427,REX,0.0,R6,1.151,0.184,1,1
0.006163,8000331904000467,24.168492696244,0.136895605205,8000,331904,467,REX,0.002,R7,1.209,0.254,1,1
0.005841,8000331904000468,24.156736267882,0.137385804829,8000,331904,468,PSF,0.061,P0,0.906,0.658,1,0
0.006443,8000331904000469,24.15628265969,0.136643312798,8000,331904,469,PSF,0.128,P7,1.575,0.416,1,1
0.007588,8000331904000558,24.165861144332,0.145135800035,8000,331904,558,EXP,0.028,E3,0.153,0.039,1,1
0.007776,8000331904000562,24.168085224988,0.143743780116,8000,331904,562,EXP,0.013,E8,0.43,0.147,1,1
0.007556,8000331904000568,24.169030433787,0.142133229124,8000,331904,568,REX,0.02,R7,1.095,0.237,1,1
0.006988,8000331904000569,24.169077827312,0.1406933456,8000,331904,569,REX,0.002,R0,0.814,0.743,1,0
0.00521,8000331904000294,24.158765270786,0.141966514765,8000,331904,294,DEV,0.009,D2,0.335,0.014,1,1
0.004316,8000331904000297,24.15843713568,0.139790084647,8000,331904,297,REX,0.943,R4,0.368,0.084,1,1
0.006765,8000331904000298,24.158407249141,0.143719477258,8000,331904,298,EXP,0.002,E6,0.892,0.076,0,0
0.005483,8000331904000299,24.162762999284,0.14380971138,8000,331904,299,REX,0.001,R7,0.947,0.127,1,1
0.005899,8000331904000306,24.159818965862,0.14358759817,8000,331904,306,REX,0.003,R5,1.219,0.327,0,0
0.005853,8000331904000311,24.156777703624,0.139563438246,8000,331904,311,PSF,0.002,P0,3.197,0.76,0,0
0.007831,8000331904000312,24.157384456364,0.144262781826,8000,331904,312,PSF,0.001,P7,1.633,0.627,0,0
